what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1496978764841
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1496978764842
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1496978764842
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1496978764843
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1496978764843
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1496978764843
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1496978764844
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1496978764845
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1496978764845
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1496978764858
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1496978764859
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1496978764889
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1496978764890
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1496978764918
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1496978764919
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1496978764919
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1496978764919
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1496978764920
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1496978764933
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1496978764934
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1496978764934
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1496978764935
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1496978764935
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1496978764936
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1496978764954
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1496978764954
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1496978764984
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1496978764985
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1496978764988
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1496978764988
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1496978764990
started,bundle,com.vectrace.MercurialEclipse,2.1.0.201304290948,"com.vectrace.MercurialEclipse",1496978765050
os,sysinfo,,,"win32",1496978765058
arch,sysinfo,,,"x86",1496978765058
ws,sysinfo,,,"win32",1496978765058
locale,sysinfo,,,"en_US",1496978765058
processors,sysinfo,,,"4",1496978765058
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1496978765058
java.runtime.version,sysinfo,,,"1.8.0_31-b13",1496978765058
java.specification.name,sysinfo,,,"Java Platform API Specification",1496978765058
java.specification.vendor,sysinfo,,,"Oracle Corporation",1496978765058
java.specification.version,sysinfo,,,"1.8",1496978765058
java.vendor,sysinfo,,,"Oracle Corporation",1496978765058
java.version,sysinfo,,,"1.8.0_31",1496978765058
java.vm.info,sysinfo,,,"mixed mode",1496978765058
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1496978765058
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1496978765058
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1496978765058
java.vm.specification.version,sysinfo,,,"1.8",1496978765058
java.vm.vendor,sysinfo,,,"Oracle Corporation",1496978765058
java.vm.version,sysinfo,,,"25.31-b07",1496978765058
started,bundle,org.tigris.subversion.subclipse.core,1.8.19,"org.tigris.subversion.subclipse.core",1496978765183
error,log,,,". Command line: hg -y debuginstall, error code: -1",1496978765427
error,log,,,". Command line: hg -y debuginstall, error code: -1",1496978765558
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1496978765582
error,log,,,". Command line: hg -y debuginstall, error code: -1",1496978765758
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1496978765952
error,log,,,"An internal error occurred during: ""Initializing hg cache for: trackuino.firmware"".",1496978766415
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1496978766417
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1496978766467
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1496978766859
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1496978766860
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1496978766980
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1496978767093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496978770593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496978772752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496978774179
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1496978780094
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1496978780607
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1496978780938
started,bundle,it.baeyens.avreclipse.core,1.0.8,"it.baeyens.avreclipse.core",1496978781172
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1496978781299
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1496978781701
started,bundle,it.baeyens.arduino.common,1.2.2.1,"it.baeyens.arduino.common",1496978782249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496978809413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496978811856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496978812833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496978832500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496978832718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496978833990
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1496978834220
